City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,petropavlovsk-kamchatskiy,53.0452,158.6483,252.48,65,0,5.0,RU,1676241110
85,carnarvon,-24.8667,113.6333,298.63,66,0,7.7,AU,1676241110
86,snyder,32.7179,-100.9176,294.87,10,0,4.12,US,1676241110
87,namibe,-15.1961,12.1522,295.14,77,44,3.97,AO,1676241111
88,asau,46.4333,26.4,268.86,92,70,2.25,RO,1676241111
89,anjiang,27.3194,110.1031,279.17,92,100,2.25,CN,1676241111
90,poum,-20.2333,164.0167,298.9,63,3,7.18,NC,1676241112
91,saldanha,-33.0117,17.9442,290.58,94,0,3.95,ZA,1676241112
92,hermanus,-34.4187,19.2345,292.48,82,44,1.91,ZA,1676241112
93,bubaque,11.2833,-15.8333,296.71,78,80,9.72,GW,1676241113
94,provideniya,64.3833,-173.3,249.21,58,0,3.0,RU,1676241113
95,vila franca do campo,37.7167,-25.4333,288.38,88,93,3.88,PT,1676241113
96,geraldton,-28.7667,114.6,289.38,88,0,1.54,AU,1676241085
97,ajdabiya,30.7554,20.2263,284.26,63,5,3.81,LY,1676241114
98,guarapari,-20.6667,-40.4975,299.76,84,97,5.12,BR,1676241114
99,georgetown,5.4112,100.3354,299.79,93,20,0.0,MY,1676241114
100,dandong,40.1292,124.3947,269.11,59,24,5.5,CN,1676241114
101,yeppoon,-23.1333,150.7333,302.03,60,3,2.15,AU,1676241115
102,sokolka,53.4072,23.5023,273.53,94,65,4.96,PL,1676241115
103,tasiilaq,65.6145,-37.6368,266.24,67,100,4.61,GL,1676241115
104,atar,20.5169,-13.0499,297.3,34,100,5.88,MR,1676241116
105,ancud,-41.8697,-73.8203,287.07,66,56,4.99,CL,1676241116
106,puerto ayora,-0.7393,-90.3518,303.13,88,81,2.24,EC,1676241080
107,itoman,26.1247,127.6694,295.16,94,75,6.69,JP,1676241116
108,kahului,20.8947,-156.47,297.16,74,75,8.23,US,1676240832
109,pangkalanbuun,-2.6833,111.6167,295.92,97,99,0.71,ID,1676241117
110,mount isa,-20.7333,139.5,302.02,30,9,3.09,AU,1676241012
111,hasaki,35.7333,140.8333,283.37,92,100,1.85,JP,1676241117
112,nemuro,43.3236,145.575,269.43,81,74,3.58,JP,1676241118
113,muli,2.9167,73.5667,299.87,65,8,5.94,MV,1676241118
114,buraydah,26.326,43.975,287.4,34,100,5.25,SA,1676241048
115,porto novo,6.4965,2.6036,302.05,86,8,3.23,BJ,1676241118
116,tiksi,71.6872,128.8694,231.7,100,70,1.95,RU,1676241119
117,zeya,53.75,127.2667,252.89,93,99,1.41,RU,1676241119
118,salalah,17.0151,54.0924,294.2,60,0,1.54,OM,1676241119
119,nizhnyaya poyma,56.1622,97.1933,246.07,100,99,1.31,RU,1676241120
120,sibolga,1.7427,98.7792,296.76,87,82,1.56,ID,1676241120
121,dubbo,-32.25,148.6167,295.22,64,44,4.63,AU,1676241121
122,avera,33.194,-82.5271,281.88,85,100,4.15,US,1676241121
123,skelleftea,64.7507,20.9528,278.15,76,0,6.69,SE,1676241122
124,tautira,-17.7333,-149.15,300.31,78,72,3.56,PF,1676241123
125,inhambane,-23.865,35.3833,299.15,88,98,6.13,MZ,1676241123
126,iaciara,-14.0958,-46.6317,300.17,55,87,1.48,BR,1676241124
127,ust-kuyga,70.0167,135.6,229.78,100,100,2.14,RU,1676241124
128,evensk,61.95,159.2333,249.95,87,82,3.54,RU,1676241124
129,tres passos,-27.4556,-53.9319,300.88,35,0,2.32,BR,1676241125
130,saint-philippe,-21.3585,55.7679,296.92,81,98,4.94,RE,1676241125
131,deputatskiy,69.3,139.9,233.1,99,99,1.35,RU,1676241125
132,gwadar,25.1216,62.3254,294.24,56,0,1.03,PK,1676241126
133,coruripe,-10.1256,-36.1756,299.3,74,51,5.35,BR,1676241126
134,neiafu,-18.65,-173.9833,301.53,83,75,3.6,TO,1676241127
135,bumba,2.1833,22.4667,298.15,40,56,0.21,CD,1676241127
136,santa fe,-31.6333,-60.7,310.94,40,0,1.79,AR,1676241028
137,bathsheba,13.2167,-59.5167,298.49,69,20,9.26,BB,1676241127
